postcode,In Use?,latitude,longitude,easting,northing,grid ref,county,district,ward,district code,ward code,country,county code,constituency,introduced,terminated,parish,national park,population,households,built up area,built up sub-division,lower layer super output area,rural/urban,region,altitude,london zone,LSOA code,local authority,MSOA code,middle layer super output area,parish code,census output area,constituency code,index of Multiple Deprivation,quality,user type,last updated
EC1A 1DS,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1DT,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-12-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1DU,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-12-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1HA,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-06-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1HQ,Yes,51.516359,-0.098906,532008,181428,TQ320814,"City of London","City of London","Farringdon Within",E09000001,E05009304,England,E11000005,"Cities of London and Westminster",2002-06-01,,"City of London, unparished area","",,,"Greater London","City of London","City of London 001F","Urban major conurbation",London,35,1,E01032739,,E02000001,"City of London 001",E43000191,E00000024,E14000639,20497,1,1,2018-08-21
EC1A 1PP,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2000-12-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TA,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TB,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TD,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TE,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TF,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TG,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TH,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TJ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TL,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TN,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TP,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TQ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-03-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TR,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TS,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TT,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TU,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TW,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TY,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-02-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1TZ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-02-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UA,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-02-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UB,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-04-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UD,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-04-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UE,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-04-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UF,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-02-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UG,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-04-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UH,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-02-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UJ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-04-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UQ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UT,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-11-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UW,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UX,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1UZ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-11-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1WX,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-06-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1WZ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-06-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XA,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-08-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XB,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-08-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XD,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-08-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XE,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-08-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XF,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-07-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XG,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XH,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-12-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XJ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XL,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XN,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XP,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XQ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XR,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XS,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XT,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XU,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-01-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XW,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-11-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XX,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2004-06-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XY,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2003-11-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1XZ,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-07-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1YA,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-10-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1YB,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-11-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1YD,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-07-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
EC1A 1YE,Yes,51.524565,-0.112042,531073,182317,TQ310823,"Greater London","Islington","Clerkenwell",E09000019,E05000370,England,E11000009,"Islington South and Finsbury",2002-07-01,,"Islington, unparished area","",,,"Greater London","Islington","Islington 022F","Urban major conurbation",London,30,1,E01002726,,E02000575,"Islington 022",E43000209,E00013578,E14000764,8742,1,1,2018-08-21
